store_id,product_id,current_stock
1,1,141
1,2,141
1,3,146
1,4,148
1,5,130
1,6,275
1,7,296
1,8,7
1,9,129
1,10,238
1,11,130
1,12,137
1,13,81
1,14,20
1,15,86
1,16,177
1,17,158
1,18,6
1,19,54
1,20,203
1,21,126
1,22,214
1,23,129
1,24,34
1,25,270
1,26,102
1,27,204
1,28,56
1,29,141
1,30,15
1,31,266
1,32,266
1,33,251
1,34,134
1,35,230
1,36,92
1,37,262
1,38,153
1,39,45
1,40,122
1,41,23
1,42,266
1,43,253
1,44,155
1,45,53
1,46,237
1,47,178
1,48,64
1,49,259
1,50,290
1,51,29
1,52,31
1,53,195
1,54,262
1,55,102
1,56,87
1,57,146
1,58,45
1,59,105
1,60,135
1,61,233
1,62,31
1,63,247
1,64,78
1,65,22
1,66,225
1,67,9
1,68,204
1,69,65
1,70,16
1,71,40
1,72,280
1,73,268
1,74,60
1,75,238
1,76,161
1,77,215
1,78,10
1,79,278
1,80,220
1,81,91
1,82,298
1,83,163
1,84,103
1,85,214
1,86,135
1,87,268
1,88,41
1,89,83
1,90,239
1,91,105
1,92,45
1,93,155
1,94,53
1,95,150
1,96,63
1,97,130
1,98,208
1,99,94
1,100,63
1,101,5
1,102,157
1,103,250
1,104,32
1,105,121
1,106,242
1,107,39
1,108,289
1,109,86
1,110,204
1,111,51
1,112,185
1,113,273
1,114,292
1,115,113
1,116,166
1,117,193
1,118,116
1,119,0
1,120,296
1,121,31
1,122,228
1,123,54
1,124,170
1,125,270
1,126,205
1,127,277
1,128,198
1,129,255
1,130,205
1,131,108
1,132,226
1,133,176
1,134,254
1,135,217
1,136,14
1,137,49
1,138,127
1,139,100
1,140,266
1,141,103
1,142,29
1,143,122
1,144,279
1,145,28
1,146,255
1,147,130
1,148,28
1,149,86
1,150,201
1,151,69
1,152,217
1,153,11
1,154,108
1,155,18
1,156,102
1,157,20
1,158,281
1,159,95
1,160,3
1,161,62
1,162,80
1,163,116
1,164,293
1,165,253
1,166,61
1,167,208
1,168,99
1,169,79
1,170,46
1,171,36
1,172,261
1,173,80
1,174,232
1,175,147
1,176,153
1,177,181
1,178,166
1,179,199
1,180,243
1,181,279
1,182,266
1,183,116
1,184,47
1,185,82
1,186,3
1,187,169
1,188,57
1,189,192
1,190,47
1,191,219
1,192,253
1,193,280
1,194,11
1,195,296
1,196,226
1,197,71
1,198,5
1,199,104
1,200,109
1,201,232
1,202,196
1,203,166
1,204,135
1,205,150
1,206,218
1,207,296
1,208,256
1,209,88
1,210,92
1,211,57
1,212,241
1,213,7
1,214,238
1,215,179
1,216,134
1,217,224
1,218,68
1,219,66
1,220,287
1,221,141
1,222,136
1,223,205
1,224,238
1,225,268
1,226,200
1,227,175
1,228,251
1,229,150
1,230,300
1,231,174
1,232,130
1,233,130
1,234,118
1,235,150
1,236,13
1,237,136
1,238,287
1,239,72
1,240,118
1,241,17
1,242,188
1,243,17
1,244,243
1,245,278
1,246,0
1,247,245
1,248,213
1,249,290
1,250,28
1,251,117
1,252,178
1,253,124
1,254,246
1,255,139
1,256,66
1,257,192
1,258,27
1,259,24
1,260,273
1,261,76
1,262,196
1,263,193
1,264,80
1,265,225
1,266,74
1,267,120
1,268,58
1,269,110
1,270,3
1,271,286
1,272,207
1,273,8
1,274,200
1,275,26
1,276,258
1,277,216
1,278,285
1,279,88
1,280,109
1,281,254
1,282,160
1,283,87
1,284,102
1,285,221
1,286,87
1,287,60
1,288,159
1,289,50
1,290,293
1,291,0
1,292,195
1,293,38
1,294,187
1,295,79
1,296,257
1,297,219
1,298,285
1,299,109
1,300,11
1,301,150
1,302,94
1,303,95
1,304,53
1,305,54
1,306,32
1,307,72
1,308,300
1,309,258
1,310,269
1,311,127
1,312,27
1,313,127
1,314,222
1,315,166
1,316,229
1,317,123
1,318,263
1,319,180
1,320,235
1,321,22
1,322,173
1,323,78
1,324,274
1,325,77
1,326,248
1,327,134
1,328,161
1,329,110
1,330,218
1,331,49
1,332,167
1,333,148
1,334,5
1,335,209
1,336,99
1,337,253
1,338,275
1,339,63
1,340,170
1,341,288
1,342,236
1,343,284
1,344,287
1,345,42
1,346,144
1,347,174
1,348,147
1,349,70
1,350,36
1,351,286
1,352,138
1,353,188
1,354,75
1,355,281
1,356,253
1,357,196
1,358,280
1,359,285
1,360,98
1,361,58
1,362,170
1,363,115
1,364,2
1,365,127
1,366,217
1,367,149
1,368,268
1,369,239
1,370,162
1,371,88
1,372,121
1,373,162
1,374,115
1,375,270
1,376,209
1,377,166
1,378,240
1,379,213
1,380,112
1,381,40
1,382,95
1,383,108
1,384,299
1,385,223
1,386,50
1,387,263
1,388,226
1,389,233
1,390,175
1,391,3
1,392,184
1,393,65
1,394,238
1,395,178
1,396,115
1,397,110
1,398,270
1,399,2
1,400,97
1,401,276
1,402,32
1,403,167
1,404,93
1,405,39
1,406,238
1,407,207
1,408,35
1,409,9
1,410,180
1,411,14
1,412,78
1,413,295
1,414,206
1,415,158
1,416,156
1,417,180
1,418,246
1,419,80
1,420,252
1,421,244
1,422,154
1,423,279
1,424,121
1,425,19
1,426,97
1,427,254
1,428,97
1,429,129
1,430,206
1,431,255
1,432,273
1,433,286
1,434,130
1,435,233
1,436,155
1,437,74
1,438,270
1,439,13
1,440,196
1,441,64
1,442,291
1,443,232
1,444,53
1,445,187
1,446,128
